mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 2/ 0,   +0.83 p,   0.00 s,        549 N,  4355034 N/s, f3b3
 3/ 0,   +0.99 p,   0.00 s,       2939 N,  6972965 N/s, f3b3
 4/ 0,   +0.87 p,   0.00 s,      13958 N,  4658334 N/s, f3b3
 5/ 0,   +0.93 p,   0.01 s,      85887 N,  6666664 N/s, f1f2
 6/ 0,   +1.00 p,   0.12 s,     540986 N,  4348473 N/s, f1f2
 7/ 0,   +1.05 p,   0.28 s,    1808752 N,  6378912 N/s, f1f2
 8/ 0,   +1.04 p,   3.57 s,   15314670 N,  4292349 N/s, f3b3
 9/ 0,   +1.04 p,   8.12 s,   49766404 N,  6132092 N/s, f3b3
10/ 0,   +0.99 p,  51.76 s,  205874652 N,  3977111 N/s, b2b3

 1/ 0,   -0.11 p,   0.00 s,         39 N,  3246753 N/s, d4c3
 2/ 0,   -0.15 p,   0.00 s,        163 N,  3091278 N/s, d4c3
 3/ 0,   -0.09 p,   0.00 s,        620 N,  5875218 N/s, d4c3
 4/ 0,   -0.09 p,   0.00 s,       1680 N,  5547740 N/s, d4c3
 5/ 0,   -0.03 p,   0.00 s,       7115 N,  7504094 N/s, d4c3
 6/ 0,   -0.03 p,   0.00 s,      19941 N,  6065296 N/s, d4c3
 7/ 0,   -0.03 p,   0.01 s,      54274 N,  6251605 N/s, d4c3
 8/ 0,   -0.04 p,   0.03 s,     203487 N,  5938963 N/s, d4c3
 9/ 0,   -0.01 p,   0.13 s,     886729 N,  6608344 N/s, d4e3
10/ 0,   -0.06 p,   0.39 s,    2543596 N,  6454662 N/s, d4e3
11/ 0,   -0.02 p,   0.89 s,    6299269 N,  7069050 N/s, d4e3
12/ 0,   +3.43 p,   3.11 s,   21512353 N,  6907225 N/s, d4b6
13/ 0,   +3.53 p,   6.11 s,   52075885 N,  8517461 N/s, d4b6
14/ 0,   +3.63 p,   8.24 s,   63026583 N,  7650158 N/s, d4b6
15/ 0,   +3.85 p,   9.68 s,   74933799 N,  7742492 N/s, d4b6




mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 1/ 0,   +0.02 p,   0.00 s,         34 N,  1979045 N/s, d7d5
 2/ 0,   -0.06 p,   0.00 s,        129 N,  1358152 N/s, d7d5
 3/ 0,   +0.01 p,   0.00 s,        913 N,  3954246 N/s, d7d5
 4/ 0,   -0.06 p,   0.00 s,       4364 N,  4194234 N/s, d7d5
 5/ 0,   +0.08 p,   0.00 s,      25542 N,  5547373 N/s, d7d5
 6/ 0,   -0.07 p,   0.03 s,     138826 N,  5073449 N/s, d7d5
 7/ 0,   +0.01 p,   0.13 s,     643870 N,  5095432 N/s, d7d5
 8/ 0,   -0.05 p,   0.51 s,    2419136 N,  4777603 N/s, d7d5
 9/ 0,   +0.06 p,   1.76 s,    9239265 N,  5246630 N/s, d7d5
10/ 0,   -0.06 p,   9.81 s,   46397454 N,  4727733 N/s, d7d5
11/ 0,   +0.01 p,  38.60 s,  187118189 N,  4848245 N/s, d7d5

 1/ 0,   +1.08 p,   0.00 s,        104 N,  4136340 N/s, f3b3
 2/ 0,   +0.83 p,   0.00 s,        549 N,  4096312 N/s, f3b3
 3/ 0,   +0.99 p,   0.00 s,       2939 N,  7071397 N/s, f3b3
 4/ 0,   +0.87 p,   0.00 s,      13958 N,  4692135 N/s, f3b3
 5/ 0,   +0.93 p,   0.01 s,      85887 N,  6656247 N/s, f1f2
 6/ 0,   +1.00 p,   0.12 s,     540986 N,  4446793 N/s, f1f2
 7/ 0,   +1.05 p,   0.28 s,    1808752 N,  6548107 N/s, f1f2
 8/ 0,   +1.04 p,   3.46 s,   15314670 N,  4429752 N/s, f3b3
 9/ 0,   +1.04 p,   7.90 s,   49766404 N,  6297287 N/s, f3b3
10/ 0,   +0.99 p,  49.97 s,  205874652 N,  4120311 N/s, b2b3

 1/ 0,   -0.11 p,   0.00 s,         39 N,  3119501 N/s, d4c3
 2/ 0,   -0.15 p,   0.00 s,        163 N,  2860151 N/s, d4c3
 3/ 0,   -0.09 p,   0.00 s,        620 N,  5636466 N/s, d4c3
 4/ 0,   -0.09 p,   0.00 s,       1680 N,  5459597 N/s, d4c3
 5/ 0,   -0.03 p,   0.00 s,       7115 N,  7471087 N/s, d4c3
 6/ 0,   -0.03 p,   0.00 s,      19941 N,  6397440 N/s, d4c3
 7/ 0,   -0.03 p,   0.01 s,      54274 N,  6379296 N/s, d4c3
 8/ 0,   -0.04 p,   0.03 s,     203487 N,  5965700 N/s, d4c3
 9/ 0,   -0.01 p,   0.13 s,     886729 N,  6617374 N/s, d4e3
10/ 0,   -0.06 p,   0.39 s,    2543596 N,  6460004 N/s, d4e3
11/ 0,   -0.02 p,   0.89 s,    6299269 N,  7070300 N/s, d4e3
12/ 0,   +3.43 p,   3.11 s,   21512353 N,  6912789 N/s, d4b6
13/ 0,   +3.53 p,   6.10 s,   52075885 N,  8540570 N/s, d4b6
14/ 0,   +3.63 p,   8.22 s,   63026583 N,  7667727 N/s, d4b6
