mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 6/ 0,   -0.03 p,   0.00 s,      13388 N,  7316454 N/s, d4c3
 7/ 0,   -0.03 p,   0.00 s,      37586 N,  7794129 N/s, d4c3
 8/ 0,   -0.04 p,   0.02 s,     144063 N,  7395409 N/s, d4c3
 9/ 0,   -0.01 p,   0.07 s,     585038 N,  8120127 N/s, d4e3
10/ 0,   -0.06 p,   0.20 s,    1604683 N,  8201887 N/s, d4e3
11/ 0,   -0.02 p,   0.69 s,    6543320 N,  9457116 N/s, d4e3
12/ 0,   +3.43 p,   2.86 s,   25596178 N,  8942794 N/s, d4b6
13/ 0,   +3.53 p,   6.74 s,   71323430 N, 10589888 N/s, d4b6
14/ 0,   +3.63 p,  10.24 s,   99711984 N,  9735357 N/s, d4b6
15/ 0,   +3.85 p,  11.76 s,  114339709 N,  9726206 N/s, d4b6
16/ 0,   +4.48 p,  17.26 s,  151891641 N,  8799004 N/s, d4b6

 1/ 0,   +0.22 p,   0.00 s,        194 N,  5555396 N/s, e6d6
 2/ 0,   +0.17 p,   0.00 s,        611 N,  4248838 N/s, e6d6
 3/ 0,   +0.19 p,   0.00 s,       4310 N,  7364097 N/s, e6d6
 4/ 0,   +0.18 p,   0.00 s,      15312 N,  5493208 N/s, e6d6
 5/ 0,   +0.20 p,   0.01 s,      79333 N,  7775141 N/s, e6d6
 6/ 0,   +0.18 p,   0.06 s,     328209 N,  5476600 N/s, e6d6
 7/ 0,   +0.20 p,   0.16 s,    1310323 N,  7997815 N/s, e6d6
 8/ 0,   +0.14 p,   0.97 s,    5219042 N,  5378129 N/s, d3a6
 9/ 0,   +0.13 p,   2.40 s,   19192876 N,  7989110 N/s, d3a6
10/ 0,   +0.14 p,  12.74 s,   62950447 N,  4939902 N/s, d3a6
11/ 0,   +0.20 p,  30.81 s,  236623024 N,  7680917 N/s, e6d6

mike@workstation:~/workspace/assassin$ 



mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 1/ 0,   +0.02 p,   0.00 s,         33 N,  2526799 N/s, d7d5
 2/ 0,   -0.06 p,   0.00 s,        173 N,  1729792 N/s, d7d5
 3/ 0,   +0.01 p,   0.00 s,       1048 N,  4282427 N/s, d7d5
 4/ 0,   -0.06 p,   0.00 s,       4120 N,  4894361 N/s, d7d5
 5/ 0,   +0.08 p,   0.00 s,      22584 N,  6811726 N/s, d7d5
 6/ 0,   -0.07 p,   0.02 s,     107409 N,  5742267 N/s, d7d5
 7/ 0,   +0.01 p,   0.10 s,     581939 N,  6014059 N/s, d7d5
 8/ 0,   -0.05 p,   0.41 s,    2379469 N,  5757946 N/s, d7d5
 9/ 0,   +0.06 p,   1.43 s,    9028043 N,  6322163 N/s, d7d5
10/ 0,   -0.06 p,   7.79 s,   45626754 N,  5853872 N/s, d7d5
11/ 0,   +0.01 p,  25.28 s,  154061409 N,  6094289 N/s, d7d5

 1/ 0,   +1.08 p,   0.00 s,        114 N,  5022469 N/s, f3b3
 2/ 0,   +0.83 p,   0.00 s,        513 N,  4625538 N/s, f3b3
 3/ 0,   +0.99 p,   0.00 s,       2582 N,  8235703 N/s, f3b3
 4/ 0,   +0.87 p,   0.00 s,      15463 N,  5895650 N/s, f3b3
 5/ 0,   +0.93 p,   0.01 s,      82412 N,  7990947 N/s, f1f2
 6/ 0,   +1.00 p,   0.07 s,     395526 N,  5586140 N/s, f1f2
 7/ 0,   +1.05 p,   0.19 s,    1556464 N,  8215898 N/s, f1f2
 8/ 0,   +1.04 p,   1.82 s,   10025566 N,  5509000 N/s, f3b3
 9/ 0,   +1.04 p,   4.97 s,   37928334 N,  7639110 N/s, f3b3
10/ 0,   +0.99 p,  35.73 s,  198554558 N,  5557464 N/s, b2b3

 1/ 0,   -0.11 p,   0.00 s,         38 N,  3556387 N/s, d4c3
 2/ 0,   -0.15 p,   0.00 s,        103 N,  2662117 N/s, d4c3
 3/ 0,   -0.09 p,   0.00 s,        475 N,  5992330 N/s, d4c3
 4/ 0,   -0.09 p,   0.00 s,       1373 N,  6209467 N/s, d4c3
 5/ 0,   -0.03 p,   0.00 s,       4999 N,  8290215 N/s, d4c3
 6/ 0,   -0.03 p,   0.00 s,      13388 N,  7426003 N/s, d4c3
 7/ 0,   -0.03 p,   0.00 s,      37586 N,  7816014 N/s, d4c3
 8/ 0,   -0.04 p,   0.02 s,     144063 N,  7464437 N/s, d4c3
 9/ 0,   -0.01 p,   0.07 s,     585038 N,  8135022 N/s, d4e3
10/ 0,   -0.06 p,   0.20 s,    1604683 N,  8215168 N/s, d4e3
11/ 0,   -0.02 p,   0.69 s,    6543320 N,  9476245 N/s, d4e3
12/ 0,   +3.43 p,   2.86 s,   25596178 N,  8963591 N/s, d4b6
13/ 0,   +3.53 p,   6.72 s,   71323430 N, 10615839 N/s, d4b6
14/ 0,   +3.63 p,  10.21 s,   99711984 N,  9762022 N/s, d4b6
15/ 0,   +3.85 p,  11.73 s,  114339709 N,  9751564 N/s, d4b6
16/ 0,   +4.48 p,  17.22 s,  151891641 N,  8822359 N/s, d4b6

 1/ 0,   +0.22 p,   0.00 s,        194 N,  5657296 N/s, e6d6
 2/ 0,   +0.17 p,   0.00 s,        611 N,  4422921 N/s, e6d6
 3/ 0,   +0.19 p,   0.00 s,       4310 N,  7390704 N/s, e6d6
 4/ 0,   +0.18 p,   0.00 s,      15312 N,  5200520 N/s, e6d6
